Country Name,Country Code,ID,Year,GDP,Pop,Host,Soviet,Investment in Non-Financial Assets,Political_Stability,Round,Unemployment Rate
Australia,AUS,1,2001,379358162499,19274701,0,0,1275000,,0,6.739999771
Australia,AUS,1,2002,395580786940,19495210,0,0,2436000,1.19291,0,6.369999886
Australia,AUS,1,2003,467497961561,19720737,0,0,2495000,0.878802,0,5.929999828
Australia,AUS,1,2004,614326362214,19932722,0,0,3474000,0.936503,0,5.389999866
Australia,AUS,1,2005,695328522027,20176844,0,0,6677000,0.893511,0,5.03000021
Australia,AUS,1,2006,747906558850,20450966,0,0,8221000,0.935188,0,4.78000021
Australia,AUS,1,2007,854427259166,20827622,0,0,8705000,0.92879,0,4.380000114
Australia,AUS,1,2008,1055642793196,21249199,0,0,9766000,0.955645,0,4.230000019
Australia,AUS,1,2009,928626859078,21691653,0,0,12086000,0.855689,0,5.559999943
Australia,AUS,1,2010,1148610059015,22031750,0,0,14668000,0.88886,0,5.210000038
Australia,AUS,1,2011,1398405797101,22340024,0,0,13886000,0.93571,0,5.079999924
Australia,AUS,1,2012,1546892142710,22733465,0,0,13837000,0.997997,0,5.21999979
Australia,AUS,1,2013,1576380424746,23128129,0,0,8984000,1.03107,0,5.659999847
Australia,AUS,1,2014,1467545212522,23475686,0,0,13292000,1.03219,0,6.079999924
Australia,AUS,1,2015,1350615691821,23815995,0,0,14634000,0.88498,0,6.050000191
Australia,AUS,1,2016,1206535157956,24190907,0,0,13973000,1.04796,0,5.710000038
Australia,AUS,1,2017,1326516328532,24594202,0,0,,0.890089,0,5.590000153
Australia,AUS,1,2018,1428288504767,24966643,0,0,,0.976574,0,5.300000191
Australia,AUS,1,2019,1392227864397,25340217,0,0,,,0,5.159999847
Australia,AUS,1,2020,1326901059123,25655289,0,0,,,0,6.460000038
Brazil,BRA,2,2001,559991261406,178211881,0,0,-181278870.5,,0,10.64999962
Brazil,BRA,2,2002,509788814957,180476685,0,0,-133305060.8,0.329845,0,10.64000034
Brazil,BRA,2,2003,558229210853,182629278,0,0,5197706606,0.0059727,0,11.17000008
Brazil,BRA,2,2004,669293772179,184722043,0,0,9837984042,-0.275707,0,10.06999969
Brazil,BRA,2,2005,891630177210,186797334,0,0,13263949139,-0.264488,0,10.55000019
Brazil,BRA,2,2006,1107640289661,188820682,0,0,16800700000,-0.294623,0,9.68999958
Brazil,BRA,2,2007,1397084349956,190779453,0,0,21562500000,-0.356955,0,9.279999733
Brazil,BRA,2,2008,1695824565929,192672317,0,0,27909600000,-0.3126,0,8.270000458
Brazil,BRA,2,2009,1667019783635,194517549,0,0,33880300000,0.166292,0,9.420000076
Brazil,BRA,2,2010,2208871646203,196353492,0,0,29750702512,0.0134759,0,
Brazil,BRA,2,2011,2616201578192,198185302,0,0,21628889225,-0.132575,0,7.579999924
Brazil,BRA,2,2012,2465188674415,199977707,0,0,22438397260,0.0459616,0,7.25
Brazil,BRA,2,2013,2472806919902,201721767,0,0,29191103635,-0.258553,0,7.070000172
Brazil,BRA,2,2014,2455993625159,203459650,0,0,32533938953,-0.0702901,0,6.760000229
Brazil,BRA,2,2015,1802214373741,205188205,0,0,22017436224,-0.331458,0,8.539999962
Brazil,BRA,2,2016,1795700168991,206859578,1,0,20118116907,-0.377205,1,11.57999992
Brazil,BRA,2,2017,2063507864887,208504960,0,0,,-0.419837,1,12.78999996
Brazil,BRA,2,2018,1916947014068,210166592,0,0,,-0.357018,1,12.32999992
Brazil,BRA,2,2019,1873274432754,211782878,0,0,,,1,11.93999958
Brazil,BRA,2,2020,1448559976218,213196304,0,0,,,1,13.69999981
Canada,CAN,3,2001,738981792355,31020902,0,0,5108000000,,0,7.21999979
Canada,CAN,3,2002,760649334098,31360079,0,0,5985000000,1.22157,0,7.659999847
Canada,CAN,3,2003,895540646635,31644028,0,0,5974000000,1.05409,0,7.570000172
Canada,CAN,3,2004,1026690238278,31940655,0,0,6350000000,0.876835,0,7.190000057
Canada,CAN,3,2005,1173108598779,32243753,0,0,6888000000,0.829618,0,6.760000229
Canada,CAN,3,2006,1319264809591,32571174,0,0,7080000000,1.03553,0,6.320000172
Canada,CAN,3,2007,1468820407783,32889025,0,0,7217000000,1.00687,0,6.039999962
Canada,CAN,3,2008,1552989690722,33247118,0,0,4600000000,1.04185,0,6.139999866
Canada,CAN,3,2009,1374625142157,33628895,0,0,9018000000,1.12674,0,8.340000153
Canada,CAN,3,2010,1617343367486,34004889,0,0,9553000000,0.936318,0,8.06000042
Canada,CAN,3,2011,1793326630175,34339328,0,0,9208000000,1.07718,0,7.510000229
Canada,CAN,3,2012,1828366481522,34714222,0,0,9931000000,1.11302,0,7.289999962
Canada,CAN,3,2013,1846597421835,35082954,0,0,8898000000,1.06142,0,7.070000172
Canada,CAN,3,2014,1805749878440,35437435,0,0,2433000000,1.1755,0,6.909999847
Canada,CAN,3,2015,1556508816217,35702908,0,0,6613000000,1.2747,0,6.909999847
Canada,CAN,3,2016,1527994741907,36109487,0,0,9959000000,1.25606,0,7
Canada,CAN,3,2017,1649265644244,36545236,0,0,10179000000,1.10182,0,6.340000153
Canada,CAN,3,2018,1725329192783,37065084,0,0,,0.991189,0,5.829999924
Canada,CAN,3,2019,1742015045482,37601230,0,0,,,0,5.659999847
Canada,CAN,3,2020,1645423407568,38037204,0,0,,,0,9.460000038
Germany,DEU,4,2001,1945790973803,82349925,0,0,12874180383,,0,7.769999981
Germany,DEU,4,2002,2078484517475,82488495,0,0,12445656180,1.09954,0,8.479999542
Germany,DEU,4,2003,2501640388482,82534176,0,0,13844938950,0.578257,0,9.779999733
Germany,DEU,4,2004,2814353869359,82516260,0,0,12665830698,0.639837,0,10.72999954
Germany,DEU,4,2005,2846864211175,82469422,0,0,14540837342,0.890194,0,11.17000008
Germany,DEU,4,2006,2994703642024,82376451,0,0,15442948742,1.02652,0,10.25
Germany,DEU,4,2007,3425578382922,82266372,0,0,13445249551,0.996008,0,8.659999847
Germany,DEU,4,2008,3745264093617,82110097,0,0,15053739304,0.945835,0,7.519999981
Germany,DEU,4,2009,3411261212652,81902307,0,0,18204614814,0.860531,0,7.739999771
Germany,DEU,4,2010,3399667820000,81776930,0,0,13843538540,0.796835,0,6.96999979
Germany,DEU,4,2011,3749314991051,80274983,0,0,19291685326,0.842218,0,5.820000172
Germany,DEU,4,2012,3527143188785,80425823,0,0,20380362261,0.775621,0,5.380000114
Germany,DEU,4,2013,3733804649549,80645605,0,0,18699902783,0.927984,0,5.230000019
